POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
1230,601862,46.76577,-123.03658,Culvert,Yes,Debris,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,601880,46.70667,-122.65596,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,601882,46.72371,-122.67791,Culvert,Yes,Slope,0,0,0,0,301.122424,0,0,0,0,0,0,0,0
1220,934632,46.774941,-122.770576,Culvert,Yes,Debris,0,0,0,0,206.732686,0,0,0,0,0,0,0,0
1217,934633,46.777013,-122.771582,Culvert,Yes,Slope,0,0,0,0,620.198058,0,0,0,0,0,0,0,0
1057,601881,46.88554,-124.00842,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
1154,601899,46.805518,-123.328002,Culvert,Yes,WS Drop,33,0,0,0,328.641433,0,0,0,0,0,0,0,0
1190,601902,46.78461,-123.313044,Culvert,Yes,Slope,67,988.397581,0,0,2133.047769,351.466998,0,0,0,0,988.397581,0,0
1149,601912,46.808111,-123.324696,Culvert,Yes,Slope,33,0,0,0,581.044062,0,0,0,0,0,0,0,0
1114,601918,46.8527969,-123.0231649,Culvert,Yes,Velocity,67,998.415596,0,0,1742.990166,0,16.067046,0,0,0,998.415596,0,0
1336,601790,46.700069,-123.011133,Culvert,Yes,Slope,0,0,0,0,1616.961172,0,0,0,0,0,0,0,0
1247,604019,46.754965,-123.057498,Culvert,Yes,WS Drop,0,0,0,0,217.704448,0,0,0,0,0,0,0,0
1244,604021,46.757285,-123.084941,Culvert,Yes,Velocity,33,0,0,0,0,0,0,0,0,0,0,0,0
1282,604038,46.730838,-123.191957,Other,Yes,WS Drop,33,727.916396,0,0,1622.473753,0,0,0,0,0,727.916396,0,0
1276,604043,46.733604,-123.219095,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
